Position,Team,Games Played,Win,Draw,Loss,Points
1,Brazil,7,7,0,0,21
2,Germany,7,5,1,1,16
3,Turkey,7,4,1,2,13
4,South Korea,7,3,2,2,11
5,Spain,5,3,2,0,11
6,England,5,2,2,1,8
7,Senegal,5,2,2,1,8
8,United States,5,2,1,2,7
9,Japan,4,2,1,1,7
10,Denmark,4,2,1,1,7
11,Mexico,4,2,1,1,7
12,Republic of Ireland,4,1,3,0,6
13,Sweden,4,1,2,1,5
14,Belgium,4,1,2,1,5
15,Italy,4,1,1,2,4
16,Paraguay,4,1,1,2,4
17,South Africa,3,1,1,1,4
18,Argentina,3,1,1,1,4
19,Costa Rica,3,1,1,1,4
20,Cameroon,3,1,1,1,4
21,Portugal,3,1,0,2,3
22,Russia,3,1,0,2,3
23,Croatia,3,1,0,2,3
24,Ecuador,3,1,0,2,3
25,Poland,3,1,0,2,3
26,Uruguay,3,0,2,1,2
27,Nigeria,3,0,1,2,1
28,France,3,0,1,2,1
29,Tunisia,3,0,1,2,1
30,Slovenia,3,0,0,3,0
31,China PR,3,0,0,3,0
32,Saudi Arabia,3,0,0,3,0
